word,num_syll
дикарей,3
омуте,3
прозрачно,3
темно,2
томное,3
белеет,3
оно,2
упорно,3
тяжелеет,4
всею,2
ко,1
дну,1
Соскучившись,4
милом,2
иле,2
соломинка,4
минуя,3
глубину,3
Наверх,2
всплывает,3
усилий,3
притворной,3
нежностью,3
изголовья,4
стой,1
жизнь,1
баюкай,3
небылицею,5
тоской,2
ласков,2
будь,1
надменной,3
скукой,2
Вполоборота,5
равнодушных,4
поглядела,4
Спадая,3
окаменела,5
Ложноклассическая,7
шаль,1
Зловещий,3
хмель,1
Души,2
расковывает,5
недра,2
негодующая,6
Федра,2
Стояла,3
некогда,3
Рашель,2
Душный,2
сумрак,2
кроет,2
ложе,2
Напряженно,4
дышит,2
грудь,1
дороже,3
крест,1
тайный,2
путь,1
ненавижу,4
свет,1
Однообразных,5
Здравствуй,2
давний,2
бред,1
Башни,2
стрельчатый,3
рост,1
Кружевом,3
камень,2
паутиной,4
стань,1
Неба,2
пустую,3
Тонкой,2
иглою,3
рань,1
Будет,2
черед,2
Чую,2
размах,2
крыла,2
Мысли,2
живой,2
срок,1
исчерпав,3
вернусь,2
Там,1
любить,2
боюсь,2
Мороженно,4
Воздушный,3
стакан,2
ледяною,4
водою,3
шоколада,4
румяной,3
зарею,3
молочные,4
Альпы,2
мечтанье,3
ложечкой,3
звякнув,2
умильно,3
глядеть,2
тесной,2
беседке,3
пыльных,2
акаций,3
Принять,2
благосклонно,4
булочных,3
граций,2
затейливой,4
чашечке,3
хрупкую,3
снедь,1
Подруга,3
шарманки,3
появится,4
вдруг,1
Бродячего,4
ледника,3
пестрая,3
крышка,2
жадным,2
вниманием,4
смотрит,2
мальчишка,3
чудесного,4
полный,2
сундук,2
боги,2
ведают,3
возьмет,2
Алмазные,4
сливки,2
вафлю,2
начинкой,3
быстро,2
исчезнет,3
лучинкой,3
Сверкая,3
божественный,4
Поговорим,4
дивный,2
град,1
утвердился,4
купола,3
победой,3
Послушаем,4
апостольское,5
credo,0
пыль,1
радуги,3
висят,2
Авентине,4
ждут,1
царя,2
Двунадесятых,5
праздников,3
кануны,3
строгоканонические,8
луны,2
Двенадцать,3
слуг,1
календаря,4
дольний,2
глядит,2
облак,2
хмурый,2
Форумом,3
огромная,4
голова,3
обнажена,4
холод,2
католической,5
тонзуры,3
иволги,3
гласных,2
долгота,3
тонических,4
стихах,2
единственная,5
мера,2
году,2
бывает,3
разлита,3
природе,3
длительность,3
метрике,3
Гомера,3
цезурою,4
этот,2
покой,2
трудные,3
длинноты,3
Волы,2
пастбище,3
золотая,4
лень,1
тростника,3
извлечь,2
богатство,3
ноты,2
спокойных,3
пригородах,4
Сгребают,3
лопатами,4
мужиками,4
бородатыми,5
Иду,2
прохожий,3
Мелькают,3
женщины,3
платках,2
тявкают,3
дворняжки,3
шалые,3
самоваров,4
розы,2
алые,3
трактирах,3
домах,2
Медлительнее,5
снежный,2
улей,2
Прозрачнее,4
окна,2
бирюзовая,5
вуаль,2
Небрежно,3
брошена,3
стуле,2
Ткань,1
опьяненная,5
Изнеженная,5
лаской,2
испытывает,5
лето,2
тронута,3
зимой,2
ледяных,3
алмазах,3
Струится,3
мороз,2
трепетание,5
стрекоз,2
Быстроживущих,5
синеглазых,4
целомудренные,6
чары,2
Высокий,3
лад,1
глубокий,3
Далеко,3
эфирных,3
установленные,6
лары,2
тщательно,3
обмытых,3
ниш,1
часы,2
